Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
5d59b01348766d0016949e6a,0bwidlu9nb,"Mediated Recall_Prolific",1,1,2023-02-23T22:22:13+00:00,155.10551309586,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,154824,,,-1,-1,,,,,0.024
5d59b01348766d0016949e6a,0bwidlu9nb,"Mediated Recall_Prolific",1,2,2023-02-23T22:22:30+00:00,16.474057912827,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,-,10,"As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,16142,,,-1,-1,,,,,0.506
5d59b01348766d0016949e6a,0bwidlu9nb,"Mediated Recall_Prolific",1,3,2023-02-23T22:23:04+00:00,33.88459610939,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,33567,,,-1,-1,,,,,1
5d59b01348766d0016949e6a,0bwidlu9nb,"Mediated Recall_Prolific",1,4,2023-02-23T22:23:18+00:00,14.130844831467,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,13803,,,-1,-1,,,,,1
5d59b01348766d0016949e6a,0bwidlu9nb,"Mediated Recall_Prolific",1,5,2023-02-23T22:23:23+00:00,4.9931101799011,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,4778,,,-1,-1,,,,,1
5d59b01348766d0016949e6a,0bwidlu9nb,"Mediated Recall_Prolific",1,6,2023-02-23T22:23:29+00:00,5.8582239151001,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,SPRING,MARCH,BUFFER3,Buffer,4,4,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,5555,,,4519,4769,,,,75,1
5d59b01348766d0016949e6a,0bwidlu9nb,"Mediated Recall_Prolific",1,7,2023-02-23T22:23:32+00:00,3.2846391201019,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,MONTH,YEAR,BUFFER3,Buffer,2,2,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,3104,,,2415,2521,,,,90,1
5d59b01348766d0016949e6a,0bwidlu9nb,"Mediated Recall_Prolific",1,8,2023-02-23T22:23:35+00:00,3.1295487880707,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,OCTOBER,SPOOKY,BUFFER3,Buffer,5,6,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,2811,,,2185,2523,,,,75,1
5d59b01348766d0016949e6a,0bwidlu9nb,"Mediated Recall_Prolific",1,9,2023-02-23T22:23:39+00:00,3.7038590908051,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,DAYS,WEAKS,BUFFER3,Buffer,1,5,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,3529,,,3042,3184,,,,15,1
5d59b01348766d0016949e6a,0bwidlu9nb,"Mediated Recall_Prolific",1,10,2023-02-23T22:23:42+00:00,3.3426609039307,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,TOOL,SHED,BUFFER3,Buffer,3,3,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,3151,,,2348,2615,,,,90,1
