Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
62029a55ef1cb18a1337c61a,qk8uiq548p,"Mediated Recall_Prolific",1,1,2023-02-06T00:21:50+00:00,5.9168748855591,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,5666,,,-1,-1,,,,,1
62029a55ef1cb18a1337c61a,qk8uiq548p,"Mediated Recall_Prolific",1,2,2023-02-06T00:22:01+00:00,11.10812497139,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,10,"As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,10789,,,-1,-1,,,,,1
62029a55ef1cb18a1337c61a,qk8uiq548p,"Mediated Recall_Prolific",1,3,2023-02-06T00:22:11+00:00,10.659080028534,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,10377,,,-1,-1,,,,,1
62029a55ef1cb18a1337c61a,qk8uiq548p,"Mediated Recall_Prolific",1,4,2023-02-06T00:22:22+00:00,11.004961967468,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,10722,,,-1,-1,,,,,1
62029a55ef1cb18a1337c61a,qk8uiq548p,"Mediated Recall_Prolific",1,5,2023-02-06T00:22:26+00:00,3.9256570339203,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,3606,,,-1,-1,,,,,1
62029a55ef1cb18a1337c61a,qk8uiq548p,"Mediated Recall_Prolific",1,6,2023-02-06T00:22:30+00:00,3.2953650951385,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,PITCHER,CATCHER,BUFFER1,Buffer,2,3,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,3007,,,2688,2750,,,,90,1
62029a55ef1cb18a1337c61a,qk8uiq548p,"Mediated Recall_Prolific",1,7,2023-02-06T00:22:32+00:00,1.7943658828735,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,SPACE,JAM,BUFFER1,Buffer,5,2,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,1478,,,1080,1328,,,,100,1
62029a55ef1cb18a1337c61a,qk8uiq548p,"Mediated Recall_Prolific",1,8,2023-02-06T00:22:33+00:00,1.8030669689178,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,PEANUT,BUTTER,BUFFER1,Buffer,3,5,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,1496,,,973,1285,,,,100,1
62029a55ef1cb18a1337c61a,qk8uiq548p,"Mediated Recall_Prolific",1,9,2023-02-06T00:22:36+00:00,2.5293672084808,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,TREES,GREEN,BUFFER1,Buffer,1,4,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,2254,,,1869,2032,,,,70,1
62029a55ef1cb18a1337c61a,qk8uiq548p,"Mediated Recall_Prolific",1,10,2023-02-06T00:22:38+00:00,2.1386148929596,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,SCARE,FRIGHT,BUFFER1,Buffer,4,6,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,1840,,,1580,1667,,,,60,1
