Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w963035,r2j61wd72l,"Mediated JOLs",1,1,2023-02-21T22:49:48+00:00,7.5886859893799,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,7463,,,-1,-1,,,,,1
w963035,r2j61wd72l,"Mediated JOLs",1,2,2023-02-21T22:49:59+00:00,11.374915838242,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,10,"As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,11181,,,-1,-1,,,,,1
w963035,r2j61wd72l,"Mediated JOLs",1,3,2023-02-21T22:50:12+00:00,12.418982028961,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,12224,,,-1,-1,,,,,1
w963035,r2j61wd72l,"Mediated JOLs",1,4,2023-02-21T22:50:24+00:00,12.795669078827,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,12572,,,-1,-1,,,,,1
w963035,r2j61wd72l,"Mediated JOLs",1,5,2023-02-21T22:50:29+00:00,4.2818179130554,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,4092,,,-1,-1,,,,,1
w963035,r2j61wd72l,"Mediated JOLs",1,6,2023-02-21T22:50:55+00:00,26.471281051636,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,PITCHER,CATCHER,BUFFER1,Buffer,2,3,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,26275,,,23629,24052,,,,100,1
w963035,r2j61wd72l,"Mediated JOLs",1,7,2023-02-21T22:50:59+00:00,3.6691379547119,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,TREES,GREEN,BUFFER1,Buffer,1,5,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,3457,,,2790,3205,,,,100,1
w963035,r2j61wd72l,"Mediated JOLs",1,8,2023-02-21T22:51:02+00:00,2.9511690139771,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,SPACE,JAM,BUFFER1,Buffer,5,2,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,2741,,,2135,2428,,,,100,1
w963035,r2j61wd72l,"Mediated JOLs",1,9,2023-02-21T22:51:06+00:00,4.4115171432495,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,PEANUT,BUTTER,BUFFER1,Buffer,3,4,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,4202,,,941,2967,,,,100,1
w963035,r2j61wd72l,"Mediated JOLs",1,10,2023-02-21T22:51:10+00:00,3.9378299713135,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,SCARE,FRIGHT,BUFFER1,Buffer,4,6,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,3741,,,3368,3368,,,,0,1
w963035,r2j61wd72l,"Mediated JOLs",1,11,2023-02-21T22:51:13+00:00,3.0813000202179,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,SIP,DRINK,Study1,F,32,30,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",2886,,,1950,2539,,,,100,1
w963035,r2j61wd72l,"Mediated JOLs",1,12,2023-02-21T22:51:16+00:00,2.5049319267273,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,HORSE,WHEEL,Study1,M,14,16,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",2297,,,1865,1866,,,,0,1
w963035,r2j61wd72l,"Mediated JOLs",1,13,2023-02-21T22:51:18+00:00,2.7445409297943,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,HARD,COTTON,Study1,M,20,42,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",2554,,,1610,1610,,,,0,1
w963035,r2j61wd72l,"Mediated JOLs",1,14,2023-02-21T22:51:20+00:00,2.0174009799957,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,BEACH,BOX,Study1,M,7,33,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",1811,,,1508,1508,,,,0,1
