"Username","Response.Response","Stimuli.Answer","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.RT","Response.JOL","Procedure.Shuffle.1"
"10066214OD","love","love",2,"JOL","affection","Study1","F","Study Phase",7441,"95","Recall1"
"10150480SW","love","love",2,"JOL","affection","Study1","F","Study Phase",4969,"98","Recall1"
"AkiyahBrandon","love","love",2,"JOL Recall","affection","Study1","F","Study Phase",2609,"100","Recall1"
"AnnaKatePettis","love","love",2,"JOL Recall","affection","Study1","F","Study Phase",4177,"85","Recall1"
"w100152402_MKT","love","love",2,"JOL","affection","Study1","F","Study Phase",2774,"80","Recall1"
"w10042654_kw","love","love",2,"JOL","affection","Study1","F","Study Phase",4698,"55","Recall1"
"w10090906KM","love","love",2,"JOL","affection","Study1","F","Study Phase",4969,"95","Recall1"
"w10098759_caa","love","love",2,"JOL","affection","Study1","F","Study Phase",3205,"90","Recall1"
"w10128905_IAT","love","love",2,"JOL","affection","Study1","F","Study Phase",7461,"70","Recall1"
"w10136452dns","love","love",2,"JOL","affection","Study1","F","Study Phase",3224,"60","Recall1"
"w10143335_at","love","love",2,"JOL","affection","Study1","F","Study Phase",2878,"100","Recall1"
"w10144355_HBL","love","love",2,"JOL","affection","Study1","F","Study Phase",2496,"70","Recall1"
"w10147711","love","love",2,"JOL","affection","Study1","F","Study Phase",3865,"70","Recall1"
"w10150573_kaj","love","love",2,"JOL","affection","Study1","F","Study Phase",3711,"90","Recall1"
"w10154902_ZD","love","love",2,"JOL","affection","Study1","F","Study Phase",6368,"40","Recall1"
"W10156412_WAGR","love","love",2,"JOL","affection","Study1","F","Study Phase",9846,"80","Recall1"
"w10162630_CAG","","love",2,"JOL","affection","Study1","F","Study Phase",3711,"90","Recall1"
"w821455_akg","love","love",2,"JOL","affection","Study1","F","Study Phase",5868,"80","Recall1"
"w963035","love","love",2,"JOL","affection","Study1","F","Study Phase",1831,"100","Recall1"
"zoieperkins","love","love",2,"JOL Recall","affection","Study1","F","Study Phase",7911,"100","Recall1"
"10066214OD","hit","bounce",2,"JOL","bat","Study1","M","Study Phase",8793,"3","Recall1"
"10150480SW","dark","bounce",2,"JOL","bat","Study1","M","Study Phase",5520,"10","Recall1"
"AkiyahBrandon","bounced","bounce",2,"JOL Recall","bat","Study1","M","Study Phase",4344,"1","Recall1"
"AnnaKatePettis","","bounce",2,"JOL Recall","bat","Study1","M","Study Phase",5860,"10","Recall1"
"w100152402_MKT","bounce","bounce",2,"JOL","bat","Study1","M","Study Phase",4877,"30","Recall1"
"w10042654_kw","bathe","bounce",2,"JOL","bat","Study1","M","Study Phase",4319,"34","Recall1"
"w10090906KM","wing","bounce",2,"JOL","bat","Study1","M","Study Phase",4864,"40","Recall1"
"w10098759_caa","night","bounce",2,"JOL","bat","Study1","M","Study Phase",3849,"60","Recall1"
"w10128905_IAT","bounce","bounce",2,"JOL","bat","Study1","M","Study Phase",7409,"15","Recall1"
"w10136452dns","","bounce",2,"JOL","bat","Study1","M","Study Phase",2552,"25","Recall1"
"w10143335_at","bounce","bounce",2,"JOL","bat","Study1","M","Study Phase",9447,"10","Recall1"
"w10144355_HBL","bounce","bounce",2,"JOL","bat","Study1","M","Study Phase",2309,"0","Recall1"
"w10147711","bald","bounce",2,"JOL","bat","Study1","M","Study Phase",2015,"0","Recall1"
"w10150573_kaj","","bounce",2,"JOL","bat","Study1","M","Study Phase",3554,"10","Recall1"
"w10154902_ZD","man","bounce",2,"JOL","bat","Study1","M","Study Phase",3358,"0","Recall1"
"W10156412_WAGR","","bounce",2,"JOL","bat","Study1","M","Study Phase",5453,"15","Recall1"
"w10162630_CAG","","bounce",2,"JOL","bat","Study1","M","Study Phase",2139,"10","Recall1"
"w821455_akg","bounce","bounce",2,"JOL","bat","Study1","M","Study Phase",5491,"5","Recall1"
"w963035","bounce ","bounce",2,"JOL","bat","Study1","M","Study Phase",1579,"0","Recall1"
"zoieperkins","","bounce",2,"JOL Recall","bat","Study1","M","Study Phase",5587,"0","Recall1"
"10066214OD","light","box",2,"JOL","beach","Study1","M","Study Phase",68019,"20","Recall1"
