Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Procedure*,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
EmilyGarrett,1m54uj6uxt,"Mediated JOLs",1,1,2023-04-04T16:22:50+00:00,8.5196039676666,5,versionC_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read3,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,,8250,,,-1,-1,,,,1
EmilyGarrett,1m54uj6uxt,"Mediated JOLs",1,2,2023-04-04T16:22:53+00:00,3.0890369415283,5,versionC_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read3,,,,,,0,Instruct,User,-,"You will now begin. Press Enter when you are ready to begin.",,Instruct16,,2875,,,-1,-1,,,,1
EmilyGarrett,1m54uj6uxt,"Mediated JOLs",1,3,2023-04-04T16:22:56+00:00,3.1079499721527,5,versionC_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read3,PITCHER,CATCHER,BUFFER1,Buffer,2,3,Study,User,-,,Study/JOL,BUFFER,,2900,,,-1,-1,,,,1
EmilyGarrett,1m54uj6uxt,"Mediated JOLs",1,4,2023-04-04T16:22:58+00:00,2.5056481361389,5,versionC_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read3,SCARE,FRIGHT,BUFFER1,Buffer,4,5,Study,User,-,,Study/JOL,BUFFER,,2303,,,-1,-1,,,,1
EmilyGarrett,1m54uj6uxt,"Mediated JOLs",1,5,2023-04-04T16:23:01+00:00,2.1284489631653,5,versionC_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read3,PEANUT,BUTTER,BUFFER1,Buffer,3,2,Study,User,-,,Study/JOL,BUFFER,,1929,,,-1,-1,,,,1
EmilyGarrett,1m54uj6uxt,"Mediated JOLs",1,6,2023-04-04T16:23:02+00:00,1.8484690189362,5,versionC_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read3,SPACE,JAM,BUFFER1,Buffer,5,6,Study,User,-,,Study/JOL,BUFFER,,1638,,,-1,-1,,,,1
EmilyGarrett,1m54uj6uxt,"Mediated JOLs",1,7,2023-04-04T16:23:04+00:00,2.0121209621429,5,versionC_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read3,TREES,GREEN,BUFFER1,Buffer,1,4,Study,User,-,,Study/JOL,BUFFER,,1818,,,-1,-1,,,,1
EmilyGarrett,1m54uj6uxt,"Mediated JOLs",1,8,2023-04-04T16:23:06+00:00,1.8875708580017,5,versionC_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read3,KEYS,ROD,Study1,U,45,15,Study,User,-,,Study/JOL,"Study Phase",,1675,,,-1,-1,,,,1
EmilyGarrett,1m54uj6uxt,"Mediated JOLs",1,9,2023-04-04T16:23:09+00:00,2.2779471874237,5,versionC_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read3,STRETCH,CLOTH,Study1,U,37,39,Study,User,-,,Study/JOL,"Study Phase",,2072,,,-1,-1,,,,1
EmilyGarrett,1m54uj6uxt,"Mediated JOLs",1,10,2023-04-04T16:23:11+00:00,2.0781228542328,5,versionC_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read3,SCALP,HEAD,Study1,F,23,19,Study,User,-,,Study/JOL,"Study Phase",,1876,,,-1,-1,,,,1
