Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Procedure*,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
5c28cac3867f660001ae9c4a,ibo9idna8l,"Mediated Recog Prolific",1,1,2023-05-08T21:34:41+00:00,6.5546560287476,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,,6380,,,-1,-1,,,,,1
5c28cac3867f660001ae9c4a,ibo9idna8l,"Mediated Recog Prolific",1,2,2023-05-08T21:34:52+00:00,11.124181985855,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,,,,,,0,Instruct,-,10,"As you study, you will be asked to rate your ability to remember the second item in the pair on a later test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,,10824,,,-1,-1,,,,,1
5c28cac3867f660001ae9c4a,ibo9idna8l,"Mediated Recog Prolific",1,3,2023-05-08T21:35:03+00:00,11.081479072571,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,,10762,,,-1,-1,,,,,1
5c28cac3867f660001ae9c4a,ibo9idna8l,"Mediated Recog Prolific",1,4,2023-05-08T21:35:38+00:00,35.383564949036,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,,35063,,,-1,-1,,,,,0.676
5c28cac3867f660001ae9c4a,ibo9idna8l,"Mediated Recog Prolific",1,5,2023-05-08T21:35:40+00:00,1.7799441814423,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,,1477,,,-1,-1,,,,,1
5c28cac3867f660001ae9c4a,ibo9idna8l,"Mediated Recog Prolific",1,6,2023-05-08T21:35:50+00:00,10.378859996796,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,TREES,GREEN,BUFFER1,Buffer,1,5,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,,10065,,,4310,4567,,,,90,0.949
5c28cac3867f660001ae9c4a,ibo9idna8l,"Mediated Recog Prolific",1,7,2023-05-08T21:35:55+00:00,4.6485328674316,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,SPACE,JAM,BUFFER1,Buffer,5,2,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,,4341,,,2958,3792,,,,75,1
5c28cac3867f660001ae9c4a,ibo9idna8l,"Mediated Recog Prolific",1,8,2023-05-08T21:36:00+00:00,4.9071080684662,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,SCARE,FRIGHT,BUFFER1,Buffer,4,6,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,,4617,,,4097,4280,,,,60,1
5c28cac3867f660001ae9c4a,ibo9idna8l,"Mediated Recog Prolific",1,9,2023-05-08T21:36:03+00:00,3.2603478431702,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,PEANUT,BUTTER,BUFFER1,Buffer,3,3,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,,2969,,,2551,2709,,,,90,1
5c28cac3867f660001ae9c4a,ibo9idna8l,"Mediated Recog Prolific",1,10,2023-05-08T21:36:08+00:00,4.6531221866608,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,PITCHER,CATCHER,BUFFER1,Buffer,2,4,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,,4353,,,3758,4157,,,,25,1
