Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Procedure*,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
63128ac22b053ba47e97feb2,yghoe4ukzx,"Mediated Recog Prolific",1,1,2023-05-08T22:28:24+00:00,6.1856169700623,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,,6003,,,-1,-1,,,,,1
63128ac22b053ba47e97feb2,yghoe4ukzx,"Mediated Recog Prolific",1,2,2023-05-08T22:28:35+00:00,10.8153860569,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,,,,,,0,Instruct,-,10,"As you study, you will be asked to rate your ability to remember the second item in the pair on a later test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,,10594,,,-1,-1,,,,,1
63128ac22b053ba47e97feb2,yghoe4ukzx,"Mediated Recog Prolific",1,3,2023-05-08T22:28:46+00:00,11.400117874146,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,,11175,,,-1,-1,,,,,1
63128ac22b053ba47e97feb2,yghoe4ukzx,"Mediated Recog Prolific",1,4,2023-05-08T22:28:57+00:00,10.838987112045,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,,10545,,,-1,-1,,,,,1
63128ac22b053ba47e97feb2,yghoe4ukzx,"Mediated Recog Prolific",1,5,2023-05-08T22:29:00+00:00,2.879142999649,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,,2668,,,-1,-1,,,,,1
63128ac22b053ba47e97feb2,yghoe4ukzx,"Mediated Recog Prolific",1,6,2023-05-08T22:29:05+00:00,4.4631159305573,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,SPACE,JAM,BUFFER1,Buffer,5,3,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,,4248,,,3823,3943,,,,70,1
63128ac22b053ba47e97feb2,yghoe4ukzx,"Mediated Recog Prolific",1,7,2023-05-08T22:29:07+00:00,2.9062809944153,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,PEANUT,BUTTER,BUFFER1,Buffer,3,4,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,,2686,,,2254,2334,,,,80,1
63128ac22b053ba47e97feb2,yghoe4ukzx,"Mediated Recog Prolific",1,8,2023-05-08T22:29:14+00:00,6.114541053772,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,SCARE,FRIGHT,BUFFER1,Buffer,4,5,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,,5895,,,5495,5606,,,,25,1
63128ac22b053ba47e97feb2,yghoe4ukzx,"Mediated Recog Prolific",1,9,2023-05-08T22:29:17+00:00,3.4183700084686,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,PITCHER,CATCHER,BUFFER1,Buffer,2,2,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,,3209,,,2569,2896,,,,75,1
63128ac22b053ba47e97feb2,yghoe4ukzx,"Mediated Recog Prolific",1,10,2023-05-08T22:29:21+00:00,3.7922999858856,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,TREES,GREEN,BUFFER1,Buffer,1,6,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,,3583,,,3135,3190,,,,50,1
63128ac22b053ba47e97feb2,yghoe4ukzx,"Mediated Recog Prolific",1,11,2023-05-08T22:29:26+00:00,5.0358090400696,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,CEILING,CARPET,Study1,M,15,10,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",,4822,,,2358,4485,,,,15,1
63128ac22b053ba47e97feb2,yghoe4ukzx,"Mediated Recog Prolific",1,12,2023-05-08T22:29:29+00:00,3.6380100250244,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,BAT,BOUNCE,Study1,M,12,20,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",,3424,,,2601,2601,,,,5,1
63128ac22b053ba47e97feb2,yghoe4ukzx,"Mediated Recog Prolific",1,13,2023-05-08T22:29:33+00:00,3.7984030246735,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,WAGE,MONEY,Study1,F,22,43,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",,3586,,,2498,2554,,,,40,1
63128ac22b053ba47e97feb2,yghoe4ukzx,"Mediated Recog Prolific",1,14,2023-05-08T22:29:38+00:00,4.6823039054871,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,TUNA,FISH,Study1,F,35,22,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",,4466,,,3970,4185,,,,45,1
63128ac22b053ba47e97feb2,yghoe4ukzx,"Mediated Recog Prolific",1,15,2023-05-08T22:29:44+00:00,5.9931890964508,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,CRY,BOTTLE,Study1,M,16,7,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",,5772,,,3972,4027,,,,10,1
63128ac22b053ba47e97feb2,yghoe4ukzx,"Mediated Recog Prolific",1,16,2023-05-08T22:29:50+00:00,5.740993976593,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,SOON,BELT,Study1,U,46,19,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",,5525,,,4685,4685,,,,5,1
63128ac22b053ba47e97feb2,yghoe4ukzx,"Mediated Recog Prolific",1,17,2023-05-08T22:29:54+00:00,4.344507932663,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,SWAN,BIRD,Study1,F,26,27,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",,4128,,,3431,3511,,,,40,1
63128ac22b053ba47e97feb2,yghoe4ukzx,"Mediated Recog Prolific",1,18,2023-05-08T22:29:57+00:00,2.7991120815277,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,SIGN,TICK,Study1,U,47,8,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",,2578,,,1818,1818,,,,5,1
