Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Procedure*,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
M20279049_el,vhkv6aznv1,"Mediated JOLs recog_MSU",1,1,2023-03-11T05:35:03+00:00,5.9759690761566,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,,5828,,,-1,-1,,,,1
M20279049_el,vhkv6aznv1,"Mediated JOLs recog_MSU",1,2,2023-03-11T05:35:05+00:00,1.5121059417725,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,,,,,,0,Instruct,User,-,"You will now begin. Press Enter when you are ready to begin.",,Instruct16,,1316,,,-1,-1,,,,1
M20279049_el,vhkv6aznv1,"Mediated JOLs recog_MSU",1,3,2023-03-11T05:35:08+00:00,3.0665390491486,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,DAYS,WEAKS,BUFFER3,Buffer,1,5,Study,User,-,,Study/JOL,BUFFER,,2861,,,-1,-1,,,,1
M20279049_el,vhkv6aznv1,"Mediated JOLs recog_MSU",1,4,2023-03-11T05:35:09+00:00,1.2579078674316,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,TOOL,SHED,BUFFER3,Buffer,3,4,Study,User,-,,Study/JOL,BUFFER,,1066,,,-1,-1,,,,1
M20279049_el,vhkv6aznv1,"Mediated JOLs recog_MSU",1,5,2023-03-11T05:35:12+00:00,2.3234159946442,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,OCTOBER,SPOOKY,BUFFER3,Buffer,5,3,Study,User,-,,Study/JOL,BUFFER,,2124,,,-1,-1,,,,1
M20279049_el,vhkv6aznv1,"Mediated JOLs recog_MSU",1,6,2023-03-11T05:35:13+00:00,1.029862165451,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,MONTH,YEAR,BUFFER3,Buffer,2,2,Study,User,-,,Study/JOL,BUFFER,,831,,,-1,-1,,,,1
M20279049_el,vhkv6aznv1,"Mediated JOLs recog_MSU",1,7,2023-03-11T05:35:14+00:00,0.97570586204529,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,SPRING,MARCH,BUFFER3,Buffer,4,6,Study,User,-,,Study/JOL,BUFFER,,780,,,-1,-1,,,,1
M20279049_el,vhkv6aznv1,"Mediated JOLs recog_MSU",1,8,2023-03-11T05:35:15+00:00,1.1268529891968,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,CHILL,COLD,Study2,F,32,27,Study,User,-,,Study/JOL,"Study Phase",,887,,,-1,-1,,,,1
M20279049_el,vhkv6aznv1,"Mediated JOLs recog_MSU",1,9,2023-03-11T05:35:17+00:00,2.1534311771393,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,NURSE,LAWYER,Study2,M,11,32,Study,User,-,,Study/JOL,"Study Phase",,1954,,,-1,-1,,,,1
M20279049_el,vhkv6aznv1,"Mediated JOLs recog_MSU",1,10,2023-03-11T05:35:18+00:00,1.4396150112152,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,WINDOW,KNOB,Study2,M,19,34,Study,User,-,,Study/JOL,"Study Phase",,1239,,,-1,-1,,,,1
M20279049_el,vhkv6aznv1,"Mediated JOLs recog_MSU",1,11,2023-03-11T05:35:19+00:00,1.0315678119659,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,KING,VASE,Study2,U,36,14,Study,User,-,,Study/JOL,"Study Phase",,811,,,-1,-1,,,,1
M20279049_el,vhkv6aznv1,"Mediated JOLs recog_MSU",1,12,2023-03-11T05:35:21+00:00,1.2560532093048,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,PUSH,CLUTTER,Study2,U,41,30,Study,User,-,,Study/JOL,"Study Phase",,1063,,,-1,-1,,,,1
M20279049_el,vhkv6aznv1,"Mediated JOLs recog_MSU",1,13,2023-03-11T05:35:22+00:00,1.034658908844,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,LEAGUE,BASEBALL,Study2,F,29,37,Study,User,-,,Study/JOL,"Study Phase",,837,,,-1,-1,,,,1
M20279049_el,vhkv6aznv1,"Mediated JOLs recog_MSU",1,14,2023-03-11T05:35:23+00:00,0.8778669834137,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,HAPPY,CAR,Study2,U,37,50,Study,User,-,,Study/JOL,"Study Phase",,687,,,-1,-1,,,,1
M20279049_el,vhkv6aznv1,"Mediated JOLs recog_MSU",1,15,2023-03-11T05:35:23+00:00,0.73956704139709,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,SCHOOL,STOP,Study2,M,7,43,Study,User,-,,Study/JOL,"Study Phase",,547,,,-1,-1,,,,1
M20279049_el,vhkv6aznv1,"Mediated JOLs recog_MSU",1,16,2023-03-11T05:35:24+00:00,0.81484198570251,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,BOTH,OUNCE,Study2,U,47,22,Study,User,-,,Study/JOL,"Study Phase",,621,,,-1,-1,,,,1
M20279049_el,vhkv6aznv1,"Mediated JOLs recog_MSU",1,17,2023-03-11T05:35:25+00:00,0.89417600631714,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,RAZOR,MUSCLE,Study2,M,20,44,Study,User,-,,Study/JOL,"Study Phase",,693,,,-1,-1,,,,1
