Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Procedure*,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
DorienSmith,1syu345otw,"Mediated JOLs",1,1,2023-03-15T03:58:16+00:00,7.2755239009857,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,,6196,,,-1,-1,,,,,1
DorienSmith,1syu345otw,"Mediated JOLs",1,2,2023-03-15T03:58:28+00:00,11.71960401535,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,,,,,,0,Instruct,-,10,"As you study, you will be asked to rate your ability to remember the second item in the pair on a later test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,,11314,,,-1,-1,,,,,1
DorienSmith,1syu345otw,"Mediated JOLs",1,3,2023-03-15T03:58:43+00:00,14.463574171066,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,,13146,,,-1,-1,,,,,1
DorienSmith,1syu345otw,"Mediated JOLs",1,4,2023-03-15T03:58:55+00:00,12.704286813736,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,,11720,,,-1,-1,,,,,1
DorienSmith,1syu345otw,"Mediated JOLs",1,5,2023-03-15T03:58:58+00:00,2.2099041938782,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,,1498,,,-1,-1,,,,,1
DorienSmith,1syu345otw,"Mediated JOLs",1,6,2023-03-15T03:59:09+00:00,11.158653974533,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,SPACE,JAM,BUFFER1,Buffer,5,4,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,,10530,,,8421,9056,,,,100,1
DorienSmith,1syu345otw,"Mediated JOLs",1,7,2023-03-15T03:59:14+00:00,4.9985349178314,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,PEANUT,BUTTER,BUFFER1,Buffer,3,3,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,,4472,,,2327,3010,,,,100,1
DorienSmith,1syu345otw,"Mediated JOLs",1,8,2023-03-15T03:59:20+00:00,5.9396638870239,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,TREES,GREEN,BUFFER1,Buffer,1,2,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,,5188,,,3043,3545,,,,75,1
DorienSmith,1syu345otw,"Mediated JOLs",1,9,2023-03-15T03:59:26+00:00,6.3421301841736,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,SCARE,FRIGHT,BUFFER1,Buffer,4,6,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,,5840,,,3777,4095,,,,80,1
DorienSmith,1syu345otw,"Mediated JOLs",1,10,2023-03-15T03:59:34+00:00,7.5914309024811,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,PITCHER,CATCHER,BUFFER1,Buffer,2,5,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,,6912,,,4570,5102,,,,79,1
DorienSmith,1syu345otw,"Mediated JOLs",1,11,2023-03-15T03:59:39+00:00,5.6058650016785,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,SHELL,SHAKE,Study1,U,43,48,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",,4906,,,2451,3118,,,,69,1
DorienSmith,1syu345otw,"Mediated JOLs",1,12,2023-03-15T03:59:48+00:00,8.9506719112396,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,HORSE,WHEEL,Study1,M,14,20,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",,8221,,,3103,6765,,,,65,1
DorienSmith,1syu345otw,"Mediated JOLs",1,13,2023-03-15T03:59:56+00:00,8.1535511016846,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,BIRTHDAY,PIE,Study1,M,9,21,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",,5860,,,3539,4143,,,,68,1
DorienSmith,1syu345otw,"Mediated JOLs",1,14,2023-03-15T04:00:03+00:00,6.9959359169006,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,AFFECTION,LOVE,Study1,F,31,42,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",,6407,,,2536,4848,,,,89,1
DorienSmith,1syu345otw,"Mediated JOLs",1,15,2023-03-15T04:00:08+00:00,5.0993640422821,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,NAP,SLEEP,Study1,F,29,13,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",,4625,,,2858,3106,,,,90,1
DorienSmith,1syu345otw,"Mediated JOLs",1,16,2023-03-15T04:00:13+00:00,4.9011940956116,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,SIP,DRINK,Study1,F,32,25,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",,4418,,,1886,2840,,,,97,1
DorienSmith,1syu345otw,"Mediated JOLs",1,17,2023-03-15T04:00:18+00:00,4.8273940086365,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,WORD,SENTENCE,Study1,F,27,38,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",,4364,,,2678,2817,,,,98,1
DorienSmith,1syu345otw,"Mediated JOLs",1,18,2023-03-15T04:00:25+00:00,6.4240539073944,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,DAY,DARK,Study1,M,18,22,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",,5579,,,3556,3805,,,,98,1
