Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Procedure*,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10127837,rmze2igmkh,"Mediated JOLs",1,1,2023-03-14T22:12:53+00:00,11.00506401062,8,versionD_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL4,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,,10791,,,-1,-1,,,,,1
w10127837,rmze2igmkh,"Mediated JOLs",1,2,2023-03-14T22:13:06+00:00,12.27392411232,8,versionD_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL4,,,,,,0,Instruct,-,10,"As you study, you will be asked to rate your ability to remember the second item in the pair on a later test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,,11993,,,-1,-1,,,,,1
w10127837,rmze2igmkh,"Mediated JOLs",1,3,2023-03-14T22:13:18+00:00,12.659404039383,8,versionD_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL4,,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,,12376,,,-1,-1,,,,,1
w10127837,rmze2igmkh,"Mediated JOLs",1,4,2023-03-14T22:13:33+00:00,14.362942934036,8,versionD_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL4,,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,,14080,,,-1,-1,,,,,1
w10127837,rmze2igmkh,"Mediated JOLs",1,5,2023-03-14T22:13:36+00:00,3.4904179573059,8,versionD_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL4,,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,,3315,,,-1,-1,,,,,1
w10127837,rmze2igmkh,"Mediated JOLs",1,6,2023-03-14T22:13:53+00:00,17.132466077805,8,versionD_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL4,OCTOBER,SPOOKY,BUFFER3,Buffer,5,3,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,,16855,,,15139,15632,,,,70,1
w10127837,rmze2igmkh,"Mediated JOLs",1,7,2023-03-14T22:14:01+00:00,7.9626958370209,8,versionD_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL4,TOOL,SHED,BUFFER3,Buffer,3,6,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,,7689,,,6460,6871,,,,90,1
w10127837,rmze2igmkh,"Mediated JOLs",1,8,2023-03-14T22:14:08+00:00,6.4459321498871,8,versionD_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL4,DAYS,WEAKS,BUFFER3,Buffer,1,4,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,,6175,,,4502,5400,,,,100,1
w10127837,rmze2igmkh,"Mediated JOLs",1,9,2023-03-14T22:14:13+00:00,5.4958460330963,8,versionD_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL4,MONTH,YEAR,BUFFER3,Buffer,2,2,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,,5228,,,3121,3652,,,,100,1
w10127837,rmze2igmkh,"Mediated JOLs",1,10,2023-03-14T22:14:23+00:00,9.3693468570709,8,versionD_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL4,SPRING,MARCH,BUFFER3,Buffer,4,5,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,,9101,,,7642,8452,,,,30,1
w10127837,rmze2igmkh,"Mediated JOLs",1,11,2023-03-14T22:14:34+00:00,11.942659139633,8,versionD_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL4,SICK,HIDE,Study2,U,45,14,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",,11671,,,8731,9411,,,,10,1
w10127837,rmze2igmkh,"Mediated JOLs",1,12,2023-03-14T22:14:41+00:00,6.3810539245605,8,versionD_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL4,HAPPY,CAR,Study2,U,37,10,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",,6114,,,3342,3342,,,,5,1
w10127837,rmze2igmkh,"Mediated JOLs",1,13,2023-03-14T22:14:50+00:00,9.4426770210266,8,versionD_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL4,LEAGUE,BASEBALL,Study2,F,29,35,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",,9177,,,8175,8436,,,,65,1
w10127837,rmze2igmkh,"Mediated JOLs",1,14,2023-03-14T22:15:05+00:00,14.242136955261,8,versionD_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL4,CHOP,CUT,Study2,F,22,17,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",,13967,,,13280,13580,,,,90,1
w10127837,rmze2igmkh,"Mediated JOLs",1,15,2023-03-14T22:15:14+00:00,9.3752810955048,8,versionD_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL4,KING,VASE,Study2,U,36,51,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",,9105,,,8760,8760,,,,3,1
w10127837,rmze2igmkh,"Mediated JOLs",1,16,2023-03-14T22:15:25+00:00,11.188953876495,8,versionD_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL4,WINDOW,KNOB,Study2,M,19,43,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",,10915,,,10480,10480,,,,3,1
w10127837,rmze2igmkh,"Mediated JOLs",1,17,2023-03-14T22:15:29+00:00,4.0720601081848,8,versionD_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL4,CHISEL,HAMMER,Study2,F,23,41,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",,3895,,,3415,3415,,,,5,1
w10127837,rmze2igmkh,"Mediated JOLs",1,18,2023-03-14T22:15:35+00:00,6.1304709911346,8,versionD_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL4,EYES,SMELL,Study2,M,10,13,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",,5860,,,4319,5106,,,,25,1
