Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Procedure*,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w993635,dettg6d4tm,"Mediated JOLs",1,1,2023-04-14T04:28:08+00:00,6.6877229213715,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,,6443,,,-1,-1,,,,,1
w993635,dettg6d4tm,"Mediated JOLs",1,2,2023-04-14T04:28:24+00:00,16.161732912064,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,,,,,,0,Instruct,-,10,"As you study, you will be asked to rate your ability to remember the second item in the pair on a later test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,,15844,,,-1,-1,,,,,1
w993635,dettg6d4tm,"Mediated JOLs",1,3,2023-04-14T04:28:35+00:00,11.363692045212,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,,11045,,,-1,-1,,,,,1
w993635,dettg6d4tm,"Mediated JOLs",1,4,2023-04-14T04:28:48+00:00,12.624732971191,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,,12312,,,-1,-1,,,,,1
w993635,dettg6d4tm,"Mediated JOLs",1,5,2023-04-14T04:28:49+00:00,1.7693810462952,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,,1559,,,-1,-1,,,,,1
w993635,dettg6d4tm,"Mediated JOLs",1,6,2023-04-14T04:29:02+00:00,12.564148902893,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,TREES,GREEN,BUFFER1,Buffer,1,3,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,,12254,,,8069,11631,,,,100,1
w993635,dettg6d4tm,"Mediated JOLs",1,7,2023-04-14T04:29:06+00:00,3.7419190406799,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,SCARE,FRIGHT,BUFFER1,Buffer,4,5,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,,3524,,,2304,2950,,,,25,1
w993635,dettg6d4tm,"Mediated JOLs",1,8,2023-04-14T04:29:09+00:00,3.5754790306091,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,SPACE,JAM,BUFFER1,Buffer,5,4,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,,3364,,,2616,2888,,,,75,1
w993635,dettg6d4tm,"Mediated JOLs",1,9,2023-04-14T04:29:14+00:00,4.4118750095367,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,PITCHER,CATCHER,BUFFER1,Buffer,2,2,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,,4102,,,2698,2945,,,,15,1
w993635,dettg6d4tm,"Mediated JOLs",1,10,2023-04-14T04:29:19+00:00,5.3783431053162,6,versionC_stim.csv,JOLVersion_Recog.csv,"JOL Recog",JOL3,PEANUT,BUTTER,BUFFER1,Buffer,3,6,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,,5053,,,3798,4401,,,,100,1
