Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Procedure*,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
5f69a3c91c1e25193e3f9c7b,lwf70dq52f,"Mediated Recog Prolific",1,1,2023-05-09T23:24:06+00:00,7.5019919872284,7,versionD_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read4,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,,6650,,,-1,-1,,,,1
5f69a3c91c1e25193e3f9c7b,lwf70dq52f,"Mediated Recog Prolific",1,2,2023-05-09T23:24:09+00:00,3.1383311748505,7,versionD_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read4,,,,,,0,Instruct,User,-,"You will now begin. Press Enter when you are ready to begin.",,Instruct16,,2461,,,-1,-1,,,,1
5f69a3c91c1e25193e3f9c7b,lwf70dq52f,"Mediated Recog Prolific",1,3,2023-05-09T23:24:15+00:00,6.4246308803558,7,versionD_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read4,DAYS,WEAKS,BUFFER3,Buffer,1,3,Study,User,-,,Study/JOL,BUFFER,,5713,,,-1,-1,,,,1
5f69a3c91c1e25193e3f9c7b,lwf70dq52f,"Mediated Recog Prolific",1,4,2023-05-09T23:24:19+00:00,4.0229909420013,7,versionD_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read4,OCTOBER,SPOOKY,BUFFER3,Buffer,5,4,Study,User,-,,Study/JOL,BUFFER,,3285,,,-1,-1,,,,1
5f69a3c91c1e25193e3f9c7b,lwf70dq52f,"Mediated Recog Prolific",1,5,2023-05-09T23:24:26+00:00,6.442262172699,7,versionD_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read4,TOOL,SHED,BUFFER3,Buffer,3,6,Study,User,-,,Study/JOL,BUFFER,,5310,,,-1,-1,,,,1
5f69a3c91c1e25193e3f9c7b,lwf70dq52f,"Mediated Recog Prolific",1,6,2023-05-09T23:24:34+00:00,8.3032789230347,7,versionD_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read4,MONTH,YEAR,BUFFER3,Buffer,2,2,Study,User,-,,Study/JOL,BUFFER,,7228,,,-1,-1,,,,1
5f69a3c91c1e25193e3f9c7b,lwf70dq52f,"Mediated Recog Prolific",1,7,2023-05-09T23:24:39+00:00,4.5057199001312,7,versionD_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read4,SPRING,MARCH,BUFFER3,Buffer,4,5,Study,User,-,,Study/JOL,BUFFER,,3795,,,-1,-1,,,,1
5f69a3c91c1e25193e3f9c7b,lwf70dq52f,"Mediated Recog Prolific",1,8,2023-05-09T23:24:41+00:00,1.896054983139,7,versionD_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read4,HORNET,STING,Study2,F,15,16,Study,User,-,,Study/JOL,"Study Phase",,1200,,,-1,-1,,,,1
5f69a3c91c1e25193e3f9c7b,lwf70dq52f,"Mediated Recog Prolific",1,9,2023-05-09T23:24:43+00:00,2.2766871452332,7,versionD_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read4,FEUD,FIGHT,Study2,F,16,9,Study,User,-,,Study/JOL,"Study Phase",,1525,,,-1,-1,,,,1
5f69a3c91c1e25193e3f9c7b,lwf70dq52f,"Mediated Recog Prolific",1,10,2023-05-09T23:24:46+00:00,2.9100840091705,7,versionD_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read4,SICK,HIDE,Study2,U,30,35,Study,User,-,,Study/JOL,"Study Phase",,2183,,,-1,-1,,,,1
