Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Procedure*,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
644016f38da1a099aac38389,rwldrj2ypy,"Mediated Recog Prolific",1,1,2023-05-10T00:13:32+00:00,6.1473209857941,7,versionD_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read4,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,,5919,,,-1,-1,,,,1
644016f38da1a099aac38389,rwldrj2ypy,"Mediated Recog Prolific",1,2,2023-05-10T00:13:35+00:00,2.6143789291382,7,versionD_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read4,,,,,,0,Instruct,User,-,"You will now begin. Press Enter when you are ready to begin.",,Instruct16,,2278,,,-1,-1,,,,1
644016f38da1a099aac38389,rwldrj2ypy,"Mediated Recog Prolific",1,3,2023-05-10T00:13:37+00:00,2.4318690299988,7,versionD_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read4,TOOL,SHED,BUFFER3,Buffer,3,5,Study,User,-,,Study/JOL,BUFFER,,2073,,,-1,-1,,,,1
644016f38da1a099aac38389,rwldrj2ypy,"Mediated Recog Prolific",1,4,2023-05-10T00:13:39+00:00,1.6337230205536,7,versionD_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read4,MONTH,YEAR,BUFFER3,Buffer,2,2,Study,User,-,,Study/JOL,BUFFER,,1273,,,-1,-1,,,,1
644016f38da1a099aac38389,rwldrj2ypy,"Mediated Recog Prolific",1,5,2023-05-10T00:13:41+00:00,2.3326408863068,7,versionD_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read4,OCTOBER,SPOOKY,BUFFER3,Buffer,5,4,Study,User,-,,Study/JOL,BUFFER,,1448,,,-1,-1,,,,1
644016f38da1a099aac38389,rwldrj2ypy,"Mediated Recog Prolific",1,6,2023-05-10T00:13:43+00:00,1.8060410022736,7,versionD_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read4,SPRING,MARCH,BUFFER3,Buffer,4,6,Study,User,-,,Study/JOL,BUFFER,,1441,,,-1,-1,,,,1
644016f38da1a099aac38389,rwldrj2ypy,"Mediated Recog Prolific",1,7,2023-05-10T00:13:45+00:00,2.1348960399628,7,versionD_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read4,DAYS,WEAKS,BUFFER3,Buffer,1,3,Study,User,-,,Study/JOL,BUFFER,,1780,,,-1,-1,,,,1
644016f38da1a099aac38389,rwldrj2ypy,"Mediated Recog Prolific",1,8,2023-05-10T00:13:47+00:00,1.8308980464935,7,versionD_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read4,HERD,COW,Study2,F,18,13,Study,User,-,,Study/JOL,"Study Phase",,1464,,,-1,-1,,,,1
644016f38da1a099aac38389,rwldrj2ypy,"Mediated Recog Prolific",1,9,2023-05-10T00:13:49+00:00,2.163526058197,7,versionD_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read4,CACTUS,PLANT,Study2,F,6,35,Study,User,-,,Study/JOL,"Study Phase",,1806,,,-1,-1,,,,1
644016f38da1a099aac38389,rwldrj2ypy,"Mediated Recog Prolific",1,10,2023-05-10T00:13:51+00:00,1.5770468711853,7,versionD_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read4,ARTERY,BRONZE,Study2,U,33,29,Study,User,-,,Study/JOL,"Study Phase",,1228,,,-1,-1,,,,1
644016f38da1a099aac38389,rwldrj2ypy,"Mediated Recog Prolific",1,11,2023-05-10T00:13:52+00:00,1.7090301513672,7,versionD_stim.csv,ReadVersion_Recog.csv,"Read Recog",Read4,ATTIRE,CLOTHES,Study2,F,9,22,Study,User,-,,Study/JOL,"Study Phase",,1372,,,-1,-1,,,,1
