"Username","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Stimuli.Value","Procedure.Item","Procedure.Trial.Type","Procedure.Shuffle","Procedure.","Response.RT","Response.Response","Response.JOL"
"56d684fffc7879000c77d87f",5,"Read Recog","WAR","QUIET","Study1","M",8,24,"Study","Study Phase","",1325,"",NA
"56d684fffc7879000c77d87f",5,"Read Recog","ROOT","PLANT","Study1","F",25,27,"Study","Study Phase","",842,"",NA
"56d684fffc7879000c77d87f",5,"Read Recog","FUZZY","BANG","Study1","U",50,46,"Study","Study Phase","",1112,"",NA
"56d684fffc7879000c77d87f",5,"Read Recog","SOON","BELT","Study1","U",46,10,"Study","Study Phase","",1080,"",NA
"56d684fffc7879000c77d87f",5,"Read Recog","MULE","DONKEY","Study1","F",24,47,"Study","Study Phase","",923,"",NA
"56d684fffc7879000c77d87f",5,"Read Recog","CREDIT","CARD","Study1","F",33,19,"Study","Study Phase","",931,"",NA
"56d684fffc7879000c77d87f",5,"Read Recog","WORD","SENTENCE","Study1","F",27,18,"Study","Study Phase","",913,"",NA
"56d684fffc7879000c77d87f",5,"Read Recog","HYGIENE","CLEAN","Study1","F",28,41,"Study","Study Phase","",917,"",NA
"56d684fffc7879000c77d87f",5,"Read Recog","ORCHID","FLOWER","Study1","F",34,38,"Study","Study Phase","",945,"",NA
"56d684fffc7879000c77d87f",5,"Read Recog","BEACH","BOX","Study1","M",7,51,"Study","Study Phase","",758,"",NA
"56d684fffc7879000c77d87f",5,"Read Recog","LITTER","TRASH","Study1","F",21,40,"Study","Study Phase","",1857,"",NA
"56d684fffc7879000c77d87f",5,"Read Recog","TREE","SYRUP","Study1","M",11,22,"Study","Study Phase","",848,"",NA
"56d684fffc7879000c77d87f",5,"Read Recog","KEYS","ROD","Study1","U",45,26,"Study","Study Phase","",797,"",NA
"56d684fffc7879000c77d87f",5,"Read Recog","BIRTHDAY","PIE","Study1","M",9,48,"Study","Study Phase","",1075,"",NA
"56d684fffc7879000c77d87f",5,"Read Recog","ROUGH","SILK","Study1","M",10,8,"Study","Study Phase","",1009,"",NA
"56d684fffc7879000c77d87f",5,"Read Recog","MULE","DONKEY","Study1","F",30,43,"Study","Study Phase","",950,"",NA
"56d684fffc7879000c77d87f",5,"Read Recog","SIP","DRINK","Study1","F",32,23,"Study","Study Phase","",1067,"",NA
"56d684fffc7879000c77d87f",5,"Read Recog","NAP","SLEEP","Study1","F",29,50,"Study","Study Phase","",810,"",NA
"56d684fffc7879000c77d87f",5,"Read Recog","SCALP","HEAD","Study1","F",23,36,"Study","Study Phase","",849,"",NA
"56d684fffc7879000c77d87f",5,"Read Recog","MIRROR","MAROON","Study1","U",36,11,"Study","Study Phase","",898,"",NA
"56d684fffc7879000c77d87f",5,"Read Recog","SHELL","SHAKE","Study1","U",43,25,"Study","Study Phase","",1018,"",NA
"56d684fffc7879000c77d87f",5,"Read Recog","CRY","BOTTLE","Study1","M",16,31,"Study","Study Phase","",999,"",NA
