Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
w10128864,x17fuo6a3s,"Mediated JOLs",1,1,2023-03-08T23:29:20+00:00,12.495590925217,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,12300,,,-1,-1,,,,1
w10128864,x17fuo6a3s,"Mediated JOLs",1,2,2023-03-08T23:29:22+00:00,1.7345459461212,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,,,,,,0,Instruct,User,-,"You will now begin. Press Enter when you are ready to begin.",,Instruct16,1515,,,1313,1313,,,,1
w10128864,x17fuo6a3s,"Mediated JOLs",1,3,2023-03-08T23:29:26+00:00,4.1356680393219,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,SPRING,MARCH,BUFFER3,Buffer,4,6,Study,User,-,,Study/JOL,BUFFER,3907,,,-1,-1,,,,1
w10128864,x17fuo6a3s,"Mediated JOLs",1,4,2023-03-08T23:29:28+00:00,1.4876570701599,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,MONTH,YEAR,BUFFER3,Buffer,2,5,Study,User,-,,Study/JOL,BUFFER,1291,,,-1,-1,,,,1
w10128864,x17fuo6a3s,"Mediated JOLs",1,5,2023-03-08T23:29:28+00:00,0.74523901939392,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,DAYS,WEAKS,BUFFER3,Buffer,1,3,Study,User,-,,Study/JOL,BUFFER,552,,,-1,-1,,,,1
w10128864,x17fuo6a3s,"Mediated JOLs",1,6,2023-03-08T23:29:29+00:00,1.0279188156128,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,OCTOBER,SPOOKY,BUFFER3,Buffer,5,2,Study,User,-,,Study/JOL,BUFFER,837,,,-1,-1,,,,1
w10128864,x17fuo6a3s,"Mediated JOLs",1,7,2023-03-08T23:29:30+00:00,0.66151404380798,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,TOOL,SHED,BUFFER3,Buffer,3,4,Study,User,-,,Study/JOL,BUFFER,461,,,-1,-1,,,,1
w10128864,x17fuo6a3s,"Mediated JOLs",1,8,2023-03-08T23:29:31+00:00,0.70914101600647,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,KING,VASE,Study2,U,36,10,Study,User,-,,Study/JOL,"Study Phase",515,,,-1,-1,,,,1
w10128864,x17fuo6a3s,"Mediated JOLs",1,9,2023-03-08T23:29:31+00:00,0.63326406478882,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,BENCH,HORN,Study2,U,43,41,Study,User,-,,Study/JOL,"Study Phase",445,,,-1,-1,,,,1
w10128864,x17fuo6a3s,"Mediated JOLs",1,10,2023-03-08T23:29:32+00:00,0.63841986656189,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,SCHOOL,STOP,Study2,M,7,16,Study,User,-,,Study/JOL,"Study Phase",437,,,-1,-1,,,,1
