Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
w10133134_lpc,smuv47njqq,"Mediated JOLs",1,1,2023-02-10T21:02:30+00:00,5.8644528388977,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,5692,,,-1,-1,,,,1
w10133134_lpc,smuv47njqq,"Mediated JOLs",1,2,2023-02-10T21:02:33+00:00,3.0871751308441,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,,,,,,0,Instruct,User,-,"You will now begin. Press Enter when you are ready to begin.",,Instruct16,2858,,,-1,-1,,,,1
w10133134_lpc,smuv47njqq,"Mediated JOLs",1,3,2023-02-10T21:02:36+00:00,2.7979278564453,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,SPACE,JAM,BUFFER1,Buffer,5,3,Study,User,-,,Study/JOL,BUFFER,2564,,,-1,-1,,,,1
w10133134_lpc,smuv47njqq,"Mediated JOLs",1,4,2023-02-10T21:02:37+00:00,1.3397150039673,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,PITCHER,CATCHER,BUFFER1,Buffer,2,6,Study,User,-,,Study/JOL,BUFFER,1115,,,-1,-1,,,,1
w10133134_lpc,smuv47njqq,"Mediated JOLs",1,5,2023-02-10T21:02:39+00:00,2.2938930988312,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,TREES,GREEN,BUFFER1,Buffer,1,2,Study,User,-,,Study/JOL,BUFFER,2073,,,-1,-1,,,,1
w10133134_lpc,smuv47njqq,"Mediated JOLs",1,6,2023-02-10T21:02:41+00:00,1.5148179531097,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,SCARE,FRIGHT,BUFFER1,Buffer,4,5,Study,User,-,,Study/JOL,BUFFER,1289,,,-1,-1,,,,1
w10133134_lpc,smuv47njqq,"Mediated JOLs",1,7,2023-02-10T21:02:42+00:00,1.209349155426,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,PEANUT,BUTTER,BUFFER1,Buffer,3,4,Study,User,-,,Study/JOL,BUFFER,984,,,-1,-1,,,,1
w10133134_lpc,smuv47njqq,"Mediated JOLs",1,8,2023-02-10T21:02:45+00:00,2.7990097999573,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,GIVE,STEAK,Study1,U,38,26,Study,User,-,,Study/JOL,"Study Phase",2569,,,-1,-1,,,,1
w10133134_lpc,smuv47njqq,"Mediated JOLs",1,9,2023-02-10T21:02:46+00:00,1.5232381820679,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,TEMPERATURE,MORNING,Study1,U,48,42,Study,User,-,,Study/JOL,"Study Phase",1300,,,-1,-1,,,,1
w10133134_lpc,smuv47njqq,"Mediated JOLs",1,10,2023-02-10T21:02:48+00:00,1.6646459102631,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,SOON,BELT,Study1,U,46,16,Study,User,-,,Study/JOL,"Study Phase",1437,,,-1,-1,,,,1
w10133134_lpc,smuv47njqq,"Mediated JOLs",1,11,2023-02-10T21:02:50+00:00,1.8383429050446,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,BIRTHDAY,PIE,Study1,M,9,29,Study,User,-,,Study/JOL,"Study Phase",1614,,,-1,-1,,,,1
w10133134_lpc,smuv47njqq,"Mediated JOLs",1,12,2023-02-10T21:02:52+00:00,1.891813993454,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,WAGE,MONEY,Study1,F,22,9,Study,User,-,,Study/JOL,"Study Phase",1666,,,-1,-1,,,,1
w10133134_lpc,smuv47njqq,"Mediated JOLs",1,13,2023-02-10T21:02:54+00:00,2.0318109989166,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,HORSE,WHEEL,Study1,M,14,11,Study,User,-,,Study/JOL,"Study Phase",1815,,,-1,-1,,,,1
w10133134_lpc,smuv47njqq,"Mediated JOLs",1,14,2023-02-10T21:02:56+00:00,2.1518411636353,1,versionA_stim.csv,ReadVersion.csv,Read,Read1,TOOTH,HAIR,Study1,M,19,47,Study,User,-,,Study/JOL,"Study Phase",1931,,,-1,-1,,,,1
