Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
w10132763akp,gcjuoyycbh,"Mediated JOLs",1,1,2023-03-09T22:14:24+00:00,7.1505179405212,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,6978,,,-1,-1,,,,1
w10132763akp,gcjuoyycbh,"Mediated JOLs",1,2,2023-03-09T22:14:29+00:00,4.3060350418091,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,,,,,,0,Instruct,User,-,"You will now begin. Press Enter when you are ready to begin.",,Instruct16,4013,,,-1,-1,,,,1
w10132763akp,gcjuoyycbh,"Mediated JOLs",1,3,2023-03-09T22:14:32+00:00,3.5154838562012,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,TOOL,SHED,BUFFER3,Buffer,3,2,Study,User,-,,Study/JOL,BUFFER,3277,,,-1,-1,,,,0.529
w10132763akp,gcjuoyycbh,"Mediated JOLs",1,4,2023-03-09T22:14:36+00:00,3.4236772060394,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,DAYS,WEAKS,BUFFER3,Buffer,1,4,Study,User,-,,Study/JOL,BUFFER,3084,,,-1,-1,,,,1
w10132763akp,gcjuoyycbh,"Mediated JOLs",1,5,2023-03-09T22:14:37+00:00,1.9412388801575,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,MONTH,YEAR,BUFFER3,Buffer,2,5,Study,User,-,,Study/JOL,BUFFER,1727,,,-1,-1,,,,1
w10132763akp,gcjuoyycbh,"Mediated JOLs",1,6,2023-03-09T22:14:40+00:00,2.3385539054871,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,OCTOBER,SPOOKY,BUFFER3,Buffer,5,6,Study,User,-,,Study/JOL,BUFFER,2035,,,-1,-1,,,,1
w10132763akp,gcjuoyycbh,"Mediated JOLs",1,7,2023-03-09T22:14:42+00:00,2.5016651153564,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,SPRING,MARCH,BUFFER3,Buffer,4,3,Study,User,-,,Study/JOL,BUFFER,2205,,,-1,-1,,,,1
w10132763akp,gcjuoyycbh,"Mediated JOLs",1,8,2023-03-09T22:14:46+00:00,3.9060990810394,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,TRAP,CAVE,Study2,M,15,18,Study,User,-,,Study/JOL,"Study Phase",3708,,,-1,-1,,,,1
w10132763akp,gcjuoyycbh,"Mediated JOLs",1,9,2023-03-09T22:14:48+00:00,1.9941649436951,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,CHERRY,RED,Study2,F,25,48,Study,User,-,,Study/JOL,"Study Phase",1775,,,-1,-1,,,,1
w10132763akp,gcjuoyycbh,"Mediated JOLs",1,10,2023-03-09T22:14:52+00:00,3.8951599597931,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,STRONG,ACCIDENT,Study2,U,39,24,Study,User,-,,Study/JOL,"Study Phase",3697,,,-1,-1,,,,1
w10132763akp,gcjuoyycbh,"Mediated JOLs",1,11,2023-03-09T22:14:57+00:00,5.2128729820251,3,versionB_stim.csv,ReadVersion.csv,Read,Read2,RAKE,SEED,Study2,M,14,20,Study,User,-,,Study/JOL,"Study Phase",4898,,,-1,-1,,,,1
